total_bill,tip,sex,smoker,day,time,size,CC Number
25.56,4.34,Male,No,Sun,Dinner,4,418349433
19.49,3.51,Male,No,Sun,Dinner,2,243787872
38.01,3.0,Male,Yes,Sat,Dinner,4,685638247
26.41,1.5,Female,No,Sat,Dinner,2,663949001
11.24,1.76,Male,Yes,Sat,Dinner,2,278877786
48.27,6.73,Male,No,Sat,Dinner,4,627930014
20.29,3.21,Male,Yes,Sat,Dinner,2,123574884
13.81,2.0,Male,Yes,Sat,Dinner,2,478770287
11.02,1.98,Male,Yes,Sat,Dinner,2,888112107
18.29,3.76,Male,Yes,Sat,Dinner,4,443536937
17.59,2.64,Male,No,Sat,Dinner,3,903941067
20.08,3.15,Male,No,Sat,Dinner,3,355217501
16.45,2.47,Female,No,Sat,Dinner,2,794227789
3.07,1.0,Female,Yes,Sat,Dinner,1,505985208
20.23,2.01,Male,No,Sat,Dinner,2,623638966
15.01,2.09,Male,Yes,Sat,Dinner,2,505290584
12.02,1.97,Male,No,Sat,Dinner,2,225044696
17.07,3.0,Female,No,Sat,Dinner,3,772609634
26.86,3.14,Female,Yes,Sat,Dinner,2,481136287
25.28,5.0,Female,Yes,Sat,Dinner,2,476345670
14.73,2.2,Female,No,Sat,Dinner,2,726417152
10.51,1.25,Male,No,Sat,Dinner,2,709410713
17.92,3.08,Male,Yes,Sat,Dinner,2,670322749
27.2,4.0,Male,No,Thur,Lunch,4,778313632
22.76,3.0,Male,No,Thur,Lunch,2,861769077
17.29,2.71,Male,No,Thur,Lunch,2,141989324
19.44,3.0,Male,Yes,Thur,Lunch,2,810636284
16.66,3.4,Male,No,Thur,Lunch,2,574654588
10.07,1.83,Female,No,Thur,Lunch,1,231313478
32.68,5.0,Male,Yes,Thur,Lunch,2,574489683
15.98,2.03,Male,No,Thur,Lunch,2,668876491
34.83,5.17,Female,No,Thur,Lunch,4,261813287
13.03,2.0,Male,No,Thur,Lunch,2,212347981
18.28,4.0,Male,No,Thur,Lunch,2,979775065
24.71,5.85,Male,No,Thur,Lunch,2,354540882
21.16,3.0,Male,No,Thur,Lunch,2,323905890
28.97,3.0,Male,Yes,Fri,Dinner,2,560347201
22.49,3.5,Male,No,Fri,Dinner,2,931040907
5.75,1.0,Female,Yes,Fri,Dinner,2,410793646
16.32,4.3,Female,Yes,Fri,Dinner,2,900072255
22.75,3.25,Female,No,Fri,Dinner,2,903654918
40.17,4.73,Male,Yes,Fri,Dinner,4,898140111
27.28,4.0,Male,Yes,Fri,Dinner,2,643536809
12.03,1.5,Male,Yes,Fri,Dinner,2,231545440
21.01,3.0,Male,Yes,Fri,Dinner,2,830457096
12.46,1.5,Male,No,Fri,Dinner,2,517956919
11.35,2.5,Female,Yes,Fri,Dinner,2,740253770
15.38,3.0,Female,Yes,Fri,Dinner,2,876348245
44.3,2.5,Female,Yes,Sat,Dinner,3,726220554
22.42,3.48,Female,Yes,Sat,Dinner,2,861875278
20.92,4.08,Female,No,Sat,Dinner,2,603826491
15.36,1.64,Male,Yes,Sat,Dinner,2,586007537
20.49,4.06,Male,Yes,Sat,Dinner,2,444785665
25.21,4.29,Male,Yes,Sat,Dinner,2,393403091
18.24,3.76,Male,No,Sat,Dinner,2,297283485
14.31,4.0,Female,Yes,Sat,Dinner,2,290802813
14.0,3.0,Male,No,Sat,Dinner,2,995794282
7.25,1.0,Female,No,Sat,Dinner,1,354940427
38.07,4.0,Male,No,Sun,Dinner,3,991983673
23.95,2.55,Male,No,Sun,Dinner,2,300370683
25.71,4.0,Female,No,Sun,Dinner,3,323455863
17.31,3.5,Female,No,Sun,Dinner,2,426143535
29.93,5.07,Male,No,Sun,Dinner,4,349269825
10.65,1.5,Female,No,Thur,Lunch,2,398202881
12.43,1.8,Female,No,Thur,Lunch,2,806682161
24.08,2.92,Female,No,Thur,Lunch,4,633827257
11.69,2.31,Male,No,Thur,Lunch,2,913264040
13.42,1.68,Female,No,Thur,Lunch,2,441306129
14.26,2.5,Male,No,Thur,Lunch,2,198251903
15.95,2.0,Male,No,Thur,Lunch,2,849338750
12.48,2.52,Female,No,Thur,Lunch,2,778240190
29.8,4.2,Female,No,Thur,Lunch,6,960149819
8.52,1.48,Male,No,Thur,Lunch,2,712625003
14.52,2.0,Female,No,Thur,Lunch,2,618732096
11.38,2.0,Female,No,Thur,Lunch,2,629367802
22.82,2.18,Male,No,Thur,Lunch,3,247477431
19.08,1.5,Male,No,Thur,Lunch,2,741058243
20.27,2.83,Female,No,Thur,Lunch,2,542887008
11.17,1.5,Female,No,Thur,Lunch,2,262340237
12.26,2.0,Female,No,Thur,Lunch,2,911249468
18.26,3.25,Female,No,Thur,Lunch,2,737056322
8.51,1.25,Female,No,Thur,Lunch,2,662656303
10.33,2.0,Female,No,Thur,Lunch,2,830020383
14.15,2.0,Female,No,Thur,Lunch,2,925236767
16.0,2.0,Male,Yes,Thur,Lunch,2,798258999
13.16,2.75,Female,No,Thur,Lunch,2,197396550
17.47,3.5,Female,No,Thur,Lunch,2,345064136
34.3,6.7,Male,No,Thur,Lunch,6,458576964
41.19,5.0,Male,No,Thur,Lunch,5,274931030
27.05,5.0,Female,No,Thur,Lunch,6,651847374
16.43,2.3,Female,No,Thur,Lunch,2,559720942
8.35,1.5,Female,No,Thur,Lunch,2,809091711
18.64,1.36,Female,No,Thur,Lunch,3,465855391
11.87,1.63,Female,No,Thur,Lunch,2,934431279
9.78,1.73,Male,No,Thur,Lunch,2,738996417
7.51,2.0,Male,No,Thur,Lunch,2,924087021
14.07,2.5,Male,No,Sun,Dinner,2,599936115
13.13,2.0,Male,No,Sun,Dinner,2,696286827
17.26,2.74,Male,No,Sun,Dinner,3,237196248
24.55,2.0,Male,No,Sun,Dinner,4,948465137
19.77,2.0,Male,No,Sun,Dinner,4,294052362
29.85,5.14,Female,No,Sun,Dinner,5,707062089
48.17,5.0,Male,No,Sun,Dinner,6,558346640
25.0,3.75,Female,No,Sun,Dinner,4,110094862
13.39,2.61,Female,No,Sun,Dinner,2,602953267
16.49,2.0,Male,No,Sun,Dinner,4,595549967
21.5,3.5,Male,No,Sun,Dinner,4,146172184
12.66,2.5,Male,No,Sun,Dinner,2,903054904
16.21,2.0,Female,No,Sun,Dinner,3,182968170
13.81,2.0,Male,No,Sun,Dinner,2,770129616
17.51,3.0,Female,Yes,Sun,Dinner,2,666211377
24.52,3.48,Male,No,Sun,Dinner,3,345243512
20.76,2.24,Male,No,Sun,Dinner,2,560964488
31.71,4.5,Male,No,Sun,Dinner,4,130362028
10.59,1.61,Female,Yes,Sat,Dinner,2,511440228
10.63,2.0,Female,Yes,Sat,Dinner,2,486605124
50.81,10.0,Male,Yes,Sat,Dinner,3,353547531
15.81,3.16,Male,Yes,Sat,Dinner,2,312252340
7.25,5.15,Male,Yes,Sun,Dinner,2,272541396
31.85,3.18,Male,Yes,Sun,Dinner,2,367359821
16.82,4.0,Male,Yes,Sun,Dinner,2,237575893
32.9,3.11,Male,Yes,Sun,Dinner,2,452051254
17.89,2.0,Male,Yes,Sun,Dinner,2,137716810
14.48,2.0,Male,Yes,Sun,Dinner,2,694683940
9.6,4.0,Female,Yes,Sun,Dinner,2,594147430
34.63,3.55,Male,Yes,Sun,Dinner,2,147422762
34.65,3.68,Male,Yes,Sun,Dinner,4,808771411
23.33,5.65,Male,Yes,Sun,Dinner,2,919089411
45.35,3.5,Male,Yes,Sun,Dinner,3,846240846
23.17,6.5,Male,Yes,Sun,Dinner,4,766598815
40.55,3.0,Male,Yes,Sun,Dinner,2,769377017
20.69,5.0,Male,No,Sun,Dinner,5,684564568
20.9,3.5,Female,Yes,Sun,Dinner,3,849174378
30.46,2.0,Male,Yes,Sun,Dinner,5,955434162
18.15,3.5,Female,Yes,Sun,Dinner,3,177616203
23.1,4.0,Male,Yes,Sun,Dinner,3,302557639
15.69,1.5,Male,Yes,Sun,Dinner,2,482468471
19.81,4.19,Female,Yes,Thur,Lunch,2,791460443
28.44,2.56,Male,Yes,Thur,Lunch,2,872283898
15.48,2.02,Male,Yes,Thur,Lunch,2,986999109
16.58,4.0,Male,Yes,Thur,Lunch,2,348591294
7.56,1.44,Male,No,Thur,Lunch,2,857070376
10.34,2.0,Male,Yes,Thur,Lunch,2,970408817
43.11,5.0,Female,Yes,Thur,Lunch,4,986197875
13.0,2.0,Female,Yes,Thur,Lunch,2,330160978
13.51,2.0,Male,Yes,Thur,Lunch,2,561271425
18.71,4.0,Male,Yes,Thur,Lunch,3,244754706
12.74,2.01,Female,Yes,Thur,Lunch,2,940089094
13.0,2.0,Female,Yes,Thur,Lunch,2,846313315
16.4,2.5,Female,Yes,Thur,Lunch,2,737671981
20.53,4.0,Male,Yes,Thur,Lunch,4,156884482
16.47,3.23,Female,Yes,Thur,Lunch,3,230537206
26.59,3.41,Male,Yes,Sat,Dinner,3,541417074
38.73,3.0,Male,Yes,Sat,Dinner,4,681093747
24.27,2.03,Male,Yes,Sat,Dinner,2,303923625
12.76,2.23,Female,Yes,Sat,Dinner,2,602287731
30.06,2.0,Male,Yes,Sat,Dinner,3,378992381
25.89,5.16,Male,Yes,Sat,Dinner,4,615299894
48.33,9.0,Male,No,Sat,Dinner,4,457339414
13.27,2.5,Female,Yes,Sat,Dinner,2,197074442
28.17,6.5,Female,Yes,Sat,Dinner,3,225031621
12.9,1.1,Female,Yes,Sat,Dinner,2,858210318
28.15,3.0,Male,Yes,Sat,Dinner,5,829140279
11.59,1.5,Male,Yes,Sat,Dinner,2,293731270
7.74,1.44,Male,Yes,Sat,Dinner,2,735088038
30.14,3.09,Female,Yes,Sat,Dinner,4,525414279
12.16,2.2,Male,Yes,Fri,Lunch,2,396086538
13.42,3.48,Female,Yes,Fri,Lunch,2,132154644
8.58,1.92,Male,Yes,Fri,Lunch,1,915897631
15.98,3.0,Female,No,Fri,Lunch,3,543074331
13.42,1.58,Male,Yes,Fri,Lunch,2,359276776
16.27,2.5,Female,Yes,Fri,Lunch,2,435161595
10.09,2.0,Female,Yes,Fri,Lunch,2,419922345
20.45,3.0,Male,No,Sat,Dinner,4,620610387
13.28,2.72,Male,No,Sat,Dinner,2,826767856
22.12,2.88,Female,Yes,Sat,Dinner,2,160226746
24.01,2.0,Male,Yes,Sat,Dinner,4,213815608
15.69,3.0,Male,Yes,Sat,Dinner,3,649215574
11.61,3.39,Male,No,Sat,Dinner,2,797402713
10.77,1.47,Male,No,Sat,Dinner,2,869699686
15.53,3.0,Male,Yes,Sat,Dinner,2,323811024
10.07,1.25,Male,No,Sat,Dinner,2,794969734
12.6,1.0,Male,Yes,Sat,Dinner,2,498533793
32.83,1.17,Male,Yes,Sat,Dinner,2,682187585
35.83,4.67,Female,No,Sat,Dinner,3,508353061
29.03,5.92,Male,No,Sat,Dinner,3,813527986
27.18,2.0,Female,Yes,Sat,Dinner,2,323358708
22.67,2.0,Male,Yes,Sat,Dinner,2,105990107
17.82,1.75,Male,No,Sat,Dinner,2,929998274
18.78,3.0,Female,No,Thur,Dinner,2,921523137
